Binomial,bm_g,bs_cm,,,,
Spheniscus_humboldti,4751.76,3.68,,,,
Spheniscus_magellanicus,4329.40,3.64,,,,
Spheniscus_mendiculus,2199.19,3.34,,,,
Sphenocichla_humei,36.57,1.56,,,,
Sphenocichla_roberti,34.35,1.54,,,,
Sphenodon_guntheri,302.00,2.48,,,,
Sphenodon_punctatus,438.00,2.64,,,,
Sphenoeacus_afer,31.34,1.50,,,,
Sphenomorphus_abdictus,20.49,1.31,,,,
Sphenomorphus_acutus,8.98,0.95,,,,
Sphenomorphus_aesculeticola,1.42,0.15,,,,
Sphenomorphus_alfredi,0.60,-0.22,,,,
Sphenomorphus_amblyplacodes,19.16,1.28,,,,
Sphenomorphus_annectens,2.02,0.31,,,,
Sphenomorphus_anotus,0.60,-0.22,,,,
Sphenomorphus_arborens,5.77,0.76,,,,
Sphenomorphus_assatus,3.15,0.50,,,,
Sphenomorphus_atrigularis,1.03,0.01,,,,
Sphenomorphus_beauforti,1.89,0.28,,,,
Sphenomorphus_beyeri,3.93,0.59,,,,
Sphenomorphus_bignelli,0.73,-0.14,,,,
Sphenomorphus_biparietalis,0.74,-0.13,,,,
Sphenomorphus_brunneus,13.93,1.14,,,,
Sphenomorphus_buenloicus,3.34,0.52,,,,
Sphenomorphus_buettikoferi,0.73,-0.14,,,,
Sphenomorphus_butleri,1.42,0.15,,,,
Sphenomorphus_cameronicus,6.88,0.84,,,,
Sphenomorphus_celebense,3.74,0.57,,,,
Sphenomorphus_cherriei,6.26,0.80,,,,
Sphenomorphus_cinereus,25.63,1.41,,,,
Sphenomorphus_concinnatus,5.41,0.73,,,,
Sphenomorphus_consobrinus,0.95,-0.02,,,,
Sphenomorphus_cophias,0.80,-0.10,,,,
Sphenomorphus_courcyanum,1.53,0.18,,,,
Sphenomorphus_coxi,12.91,1.11,,,,
Sphenomorphus_cranei,10.18,1.01,,,,
Sphenomorphus_crassa,11.49,1.06,,,,
Sphenomorphus_cryptotis,11.95,1.08,,,,
Sphenomorphus_cumingi,81.52,1.91,,,,
Sphenomorphus_cyanolaemus,4.17,0.62,,,,
Sphenomorphus_darlingtoni,5.14,0.71,,,,
Sphenomorphus_decipiens,1.64,0.21,,,,
Sphenomorphus_derroyae,12.91,1.11,,,,
Sphenomorphus_devorator,3.74,0.57,,,,
Sphenomorphus_diwata,4.17,0.62,,,,
Sphenomorphus_dorsicatenatus,1.82,0.26,,,,
Sphenomorphus_dussumieri,5.14,0.71,,,,
Sphenomorphus_fasciatus,30.37,1.48,,,,
Sphenomorphus_florensis,7.20,0.86,,,,
Sphenomorphus_forbesi,3.95,0.60,,,,
Sphenomorphus_fragilis,2.96,0.47,,,,
Sphenomorphus_fragosus,7.54,0.88,,,,
Sphenomorphus_fuscolineatus,3.95,0.60,,,,
Sphenomorphus_grandisonae,0.44,-0.36,,,,
Sphenomorphus_granulatus,1.64,0.21,,,,
Sphenomorphus_haasi,3.53,0.55,,,,
Sphenomorphus_hallieri,3.15,0.50,,,,
Sphenomorphus_incertus,5.97,0.78,,,,
Sphenomorphus_incognitus,29.54,1.47,,,,
Sphenomorphus_indicus,19.59,1.29,,,,
Sphenomorphus_ishaki,1.21,0.08,,,,
Sphenomorphus_jagori,29.80,1.47,,,,
Sphenomorphus_jobiensis,35.41,1.55,,,,
Sphenomorphus_kinabaluensis,3.95,0.60,,,,
Sphenomorphus_kitangladensis,3.53,0.55,,,,
Sphenomorphus_knollmanae,2.46,0.39,,,,
Sphenomorphus_kuehnei,6.88,0.84,,,,
Sphenomorphus_laterimaculatus,2.71,0.43,,,,
Sphenomorphus_lawtoni,1.77,0.25,,,,
Sphenomorphus_leptofasciatus,13.41,1.13,,,,
Sphenomorphus_leucospilos,4.17,0.62,,,,
Sphenomorphus_lineopunctulatus,12.43,1.09,,,,
Sphenomorphus_llanosi,15.54,1.19,,,,
Sphenomorphus_longicaudatus,17.90,1.25,,,,
Sphenomorphus_luzonense,2.04,0.31,,,,
Sphenomorphus_maculatus,5.20,0.72,,,,
Sphenomorphus_maculicollus,1.89,0.28,,,,
Sphenomorphus_maindroni,7.20,0.86,,,,
Sphenomorphus_malayanum,5.41,0.73,,,,
Sphenomorphus_megalops,2.43,0.39,,,,
Sphenomorphus_meyeri,47.70,1.68,,,,
Sphenomorphus_microtympanus,1.64,0.21,,,,
Sphenomorphus_mimicus,0.80,-0.10,,,,
Sphenomorphus_mimikanum,15.54,1.19,,,,
Sphenomorphus_mindanensis,3.34,0.52,,,,
Sphenomorphus_minutus,0.87,-0.06,,,,
Sphenomorphus_modigliani,1.21,0.08,,,,
Sphenomorphus_muelleri,228.13,2.36,,,,
Sphenomorphus_multisquamatus,6.56,0.82,,,,
Sphenomorphus_murudensis,2.37,0.37,,,,
Sphenomorphus_necopinatus,1.53,0.18,,,,
Sphenomorphus_neuhaussi,14.99,1.18,,,,
Sphenomorphus_nigriventris,15.54,1.19,,,,
Sphenomorphus_nigrolabris,18.52,1.27,,,,
Sphenomorphus_nigrolineata,8.60,0.93,,,,
Sphenomorphus_oligolepis,3.15,0.50,,,,
Sphenomorphus_praesignis,29.80,1.47,,,,
Sphenomorphus_pratti,15.54,1.19,,,,
Sphenomorphus_puncticentralis,1.64,0.21,,,,
Sphenomorphus_rarus,2.62,0.42,,,,
Sphenomorphus_rufocaudatus,2.46,0.39,,,,
Sphenomorphus_sabanus,3.74,0.57,,,,
Sphenomorphus_sanctus,3.15,0.50,,,,
Sphenomorphus_sarasinorus,8.98,0.95,,,,
Sphenomorphus_schultzei,1.89,0.28,,,,
Sphenomorphus_scotophilus,6.88,0.84,,,,
Sphenomorphus_scutatus,1.21,0.08,,,,
Sphenomorphus_shelfordi,6.88,0.84,,,,
Sphenomorphus_simus,3.34,0.52,,,,
Sphenomorphus_solomonis,10.18,1.01,,,,
Sphenomorphus_steerei,0.80,-0.10,,,,
Sphenomorphus_stellatus,10.61,1.03,,,,
Sphenomorphus_stickeli,2.16,0.33,,,,
Sphenomorphus_striatopunctatum,1.12,0.05,,,,
Sphenomorphus_striolatus,2.62,0.42,,,,
Sphenomorphus_tagapayo,0.54,-0.27,,,,
Sphenomorphus_taiwanensis,3.60,0.56,,,,
Sphenomorphus_tanahtinggi,5.14,0.71,,,,
Sphenomorphus_tanneri,2.62,0.42,,,,
Sphenomorphus_taylori,100.50,2.00,,,,
Sphenomorphus_temmincki,3.34,0.52,,,,
Sphenomorphus_tenuiculus,4.17,0.62,,,,
Sphenomorphus_textum,1.31,0.12,,,,
Sphenomorphus_transversus,6.26,0.80,,,,
Sphenomorphus_tritaeniatus,1.89,0.28,,,,
Sphenomorphus_tropidonotus,4.40,0.64,,,,
Sphenomorphus_undulatus,6.26,0.80,,,,
Sphenomorphus_vanheurni,5.14,0.71,,,,
Sphenomorphus_variegatus,5.41,0.73,,,,
Sphenomorphus_victoria,1.68,0.23,,,,
Sphenomorphus_wolfi,4.17,0.62,,,,
Sphenomorphus_woodfordi,39.52,1.60,,,,
Sphenomorphus_wrighti,6.56,0.82,,,,
Sphenomorphus_zimmeri,7.20,0.86,,,,
Sphenops_delislei,17.90,1.25,,,,
Sphenops_sepsoides,35.41,1.55,,,,
Sphenops_sphenopsiformis,20.69,1.32,,,,
Sphiggurus_ichillus,1242.24,3.09,,,,
Sphiggurus_insidiosus,999.28,3.00,,,,
Sphiggurus_melanurus,1787.29,3.25,,,,
Sphiggurus_mexicanus,1999.47,3.30,,,,
Sphiggurus_pruinosus,989.12,3.00,,,,
Sphiggurus_roosmalenorum,1242.24,3.09,,,,
Sphiggurus_spinosus,751.90,2.88,,,,
Sphiggurus_vestitus,736.76,2.87,,,,
Sphiggurus_villosus,1748.65,3.24,,,,
Sphoeroides_maculatus,779.98,2.89,,,,
Sphoeroides_testudineus,400.00,2.60,,,,
Sphyraena_afra,50000.00,4.70,,,,
Sphyraena_argentea,12000.00,4.08,,,,
Sphyraena_barracuda,13484.33,4.13,,,,
Sphyraena_borealis,523.44,2.72,,,,
Sphyraena_chrysotaenia,11.60,1.06,,,,
Sphyraena_ensis,9520.00,3.98,,,,
Sphyraena_forsteri,735.00,2.87,,,,
Sphyraena_guachancho,1750.00,3.24,,,,
Sphyraena_jello,4082.33,3.61,,,,
Sphyraena_obtusata,37.70,1.58,,,,
Sphyraena_picudilla,1140.00,3.06,,,,
Sphyraena_qenie,7140.00,3.85,,,,
Sphyraena_sphyraena,3620.00,3.56,,,,
Sphyrapicus_nuchalis,50.54,1.70,,,,
Sphyrapicus_ruber,54.75,1.74,,,,
Sphyrapicus_ruber_daggetti,54.70,1.74,,,,
Sphyrapicus_ruber_ruber,58.00,1.76,,,,
Sphyrapicus_thyroideus,49.03,1.69,,,,
Sphyrapicus_varius,49.65,1.70,,,,
Sphyrapicus_varius_varius,62.20,1.79,,,,
Sphyrna__tiburo,10800.00,4.03,,,,
Sphyrna_lewini,40355.00,4.61,,,,
Sphyrna_mokarran,148500.00,5.17,,,,
Sphyrna_tiburo,10800.00,4.03,,,,
Sphyrna_zygaena,63500.00,4.80,,,,
Spicara_alta,125.00,2.10,,,,
Spicara_maena,72.98,1.86,,,,
Spilocuscus_kraemeri,4845.31,3.69,,,,
Spilocuscus_maculatus,4501.53,3.65,,,,
Spilocuscus_papuensis,4845.31,3.69,,,,
Spilocuscus_rufoniger,6003.65,3.78,,,,
Spilogale_angustifrons,473.19,2.68,,,,
Spilogale_aquaticus,283.08,2.45,,,,
Spilogale_gracilis,539.25,2.73,,,,
Spilogale_putorius,377.78,2.58,,,,
Spilogale_pygmaea,228.70,2.36,,,,
Spilopelia_chinensis,159.00,2.20,,,,
Spilopelia_senegalensis,101.00,2.00,,,,
Spiloptila_clamans,7.25,0.86,,,,
Spiloptila_rufifrons,6.50,0.81,,,,
Spilornis_cheela,945.55,2.98,,,,
Spilornis_cheela_asturinus,492.50,2.69,,,,
Spilornis_cheela_burmanicus,900.00,2.95,,,,
Spilornis_cheela_pallidus,925.00,2.97,,,,
Spilornis_elgini,895.00,2.95,,,,
Spilornis_holospilus,776.08,2.89,,,,
Spilornis_kinabaluensis,869.33,2.94,,,,
Spilornis_klossi,869.33,2.94,,,,
Spilornis_minimus,800.00,2.90,,,,
Spilornis_rufipectus,869.33,2.94,,,,
Spilotes_pullatus,3982.85,3.60,,,,
Spilotes_sulphureus,1587.00,3.20,,,,
Spinachia_spinachia,1.44,0.16,,,,
Spindalis_dominicensis,30.67,1.49,,,,
Spindalis_nigricephala,51.64,1.71,,,,
Spindalis_portoricensis,35.46,1.55,,,,
Spindalis_zena,27.23,1.44,,,,
Spindalis_zena_benedicti,35.60,1.55,,,,
Spindalis_zena_zena,28.50,1.45,,,,
Spinibarbus_denticulatus,1000.00,3.00,,,,
Spinibarbus_sinensis,25000.00,4.40,,,,
Spinus_atrata,16.10,1.21,,,,
Spinus_atriceps,13.50,1.13,,,,
Spinus_barbata,15.95,1.20,,,,
Spinus_crassirostris,19.00,1.28,,,,
Spinus_cucullata,8.90,0.95,,,,
Spinus_dominicensis,12.60,1.10,,,,
Spinus_lawrencei,10.80,1.03,,,,
Spinus_magellanica,13.55,1.13,,,,
Spinus_notata,10.90,1.04,,,,
Spinus_pinus,13.05,1.12,,,,
Spinus_psaltria,9.12,0.96,,,,
Spinus_spinescens,11.30,1.05,,,,
Spinus_spinus,13.50,1.13,,,,
Spinus_thibetana,10.75,1.03,,,,
Spinus_tristis,12.80,1.11,,,,
Spinus_uropygialis,14.00,1.15,,,,
Spinus_xanthogastra,12.50,1.10,,,,
Spirinchus_thaleichthys,50.26,1.70,,,,
Spiza_americana,26.65,1.43,,,,
Spizaetus_africanus,1111.64,3.05,,,,
Spizaetus_alboniger,830.00,2.92,,,,
Spizaetus_cirrhatus,1480.00,3.17,,,,
Spizaetus_isidori,3087.00,3.49,,,,
Spizaetus_melanoleucus,828.75,2.92,,,,
Spizaetus_nanus,585.00,2.77,,,,
Spizaetus_nipalensis,3150.00,3.50,,,,
Spizaetus_ornatus,1321.59,3.12,,,,
Spizaetus_philippensis,1168.00,3.07,,,,
Spizaetus_tyrannus,1032.09,3.01,,,,
Spizastur_melanoleucus,850.00,2.93,,,,
Spizella_arborea,21.00,1.32,,,,
Spizella_atrogularis,12.23,1.09,,,,
Spizella_breweri,10.41,1.02,,,,
Spizella_pallida,12.21,1.09,,,,
Spizella_passerina,12.85,1.11,,,,
Spizella_pusilla,13.37,1.13,,,,
Spizella_wortheni,13.60,1.13,,,,
Spiziapteryx_circumcincta,181.60,2.26,,,,
Spiziapteryx_circumcinctus,167.11,2.22,,,,
Spizixos_canifrons,44.00,1.64,,,,
Spizixos_semitorques,38.50,1.59,,,,
Spizocorys_conirostris,14.85,1.17,,,,
Spizocorys_fringillaris,19.54,1.29,,,,
Spizocorys_obbiensis,13.80,1.14,,,,
Spizocorys_personata,19.70,1.29,,,,
Spizocorys_sclateri,20.25,1.31,,,,
Spodiopsar_cineraceus,82.25,1.92,,,,
Spondyliosoma_cantharus,1359.50,3.13,,,,
Spondyliosoma_emarginatum,1315.68,3.12,,,,
Sporophila_albogularis,9.70,0.99,,,,
Sporophila_americana,12.75,1.11,,,,
Sporophila_ardesiaca,10.90,1.04,,,,
Sporophila_bouvreuil,9.35,0.97,,,,
Sporophila_bouvronides,10.03,1.00,,,,
Sporophila_caerulescens,10.98,1.04,,,,
Sporophila_castaneiventris,7.85,0.89,,,,
Sporophila_collaris,13.75,1.14,,,,
Sporophila_corvina,11.64,1.07,,,,
Sporophila_hypochroma,9.70,0.99,,,,
Sporophila_intermedia,12.88,1.11,,,,
Sporophila_leucoptera,15.75,1.20,,,,
Sporophila_lineola,10.90,1.04,,,,
Sporophila_luctuosa,12.50,1.10,,,,
Sporophila_melanogaster,9.89,1.00,,,,
Sporophila_minuta,8.50,0.93,,,,
Sporophila_murallae,12.00,1.08,,,,
Sporophila_nigricollis,10.12,1.01,,,,
Sporophila_palustris,8.25,0.92,,,,
Sporophila_peruviana,12.60,1.10,,,,
Sporophila_pileata,8.70,0.94,,,,
Sporophila_plumbea,10.28,1.01,,,,
Sporophila_ruficollis,9.09,0.96,,,,
Sporophila_schistacea,13.20,1.12,,,,
Sporophila_telasco,10.04,1.00,,,,
Sporophila_torquata,12.00,1.08,,,,
Sporophila_torqueola,8.70,0.94,,,,
Sporopipes_frontalis,18.18,1.26,,,,
Sporopipes_squamifrons,12.31,1.09,,,,
Spratelloides_delicatulus,1.50,0.18,,,,
Sprattus_sprattus,15.50,1.19,,,,
Spreo_albicapillus,76.75,1.89,,,,
Spreo_bicolor,106.83,2.03,,,,
Spreo_fischeri,51.00,1.71,,,,
Spreo_unicolor,66.00,1.82,,,,
Squaliolus_laticaudus,60.00,1.78,,,,
Squalius_alburnoides,197.55,2.30,,,,
Squalius_cephalus,8000.00,3.90,,,,
Squalius_pyrenaicus,472.83,2.67,,,,
Squalus_acanthias,4760.00,3.68,,,,
Squalus_griffini,3980.33,3.60,,,,
Squalus_megalops,420.00,2.62,,,,
Squalus_melanurus,1115.00,3.05,,,,
Squalus_suckleyi,4500.00,3.65,,,,
Squatina_squatina,43000.00,4.63,,,,
Srilankamys_ohiensis,79.25,1.90,,,,
Stachyridopsis_ambigua,9.60,0.98,,,,
Stachyridopsis_chrysaea,8.50,0.93,,,,
Stachyridopsis_pyrrhops,9.88,0.99,,,,
Stachyridopsis_ruficeps,10.00,1.00,,,,
Stachyridopsis_rufifrons,9.80,0.99,,,,
Stachyris_ambigua,9.85,0.99,,,,
Stachyris_capitalis,15.35,1.19,,,,
Stachyris_chrysaea,9.50,0.98,,,,
Stachyris_dennistouni,16.55,1.22,,,,
Stachyris_erythroptera,13.51,1.13,,,,
Stachyris_grammiceps,15.96,1.20,,,,
Stachyris_herberti,15.96,1.20,,,,
Stachyris_hypogrammica,15.96,1.20,,,,
Stachyris_latistriata,29.50,1.47,,,,
Stachyris_leucotis,24.68,1.39,,,,
Stachyris_maculata,30.52,1.48,,,,
Stachyris_melanothorax,15.96,1.20,,,,
Stachyris_nigriceps,17.20,1.24,,,,
Stachyris_nigricollis,27.93,1.45,,,,
Stachyris_nigrocapitata,15.05,1.18,,,,
Stachyris_nigrorum,24.30,1.39,,,,
Stachyris_nonggangensis,35.50,1.55,,,,
Stachyris_oglei,33.00,1.52,,,,
Stachyris_plateni,9.45,0.98,,,,
Stachyris_poliocephala,24.66,1.39,,,,
Stachyris_pygmaea,8.70,0.94,,,,
Stachyris_pyrrhops,10.55,1.02,,,,
Stachyris_ruficeps,11.15,1.05,,,,
Stachyris_rufifrons,10.60,1.03,,,,
Stachyris_speciosa,18.00,1.26,,,,
Stachyris_striata,14.40,1.16,,,,
Stachyris_striolata,15.96,1.20,,,,
Stachyris_thoracica,15.96,1.20,,,,
Stachyris_whiteheadi,24.93,1.40,,,,
Stactolaema_anchietae,48.31,1.68,,,,
Stactolaema_leucotis,56.93,1.76,,,,
Stactolaema_leucotis_kilimensis,61.00,1.79,,,,
Stactolaema_olivacea,51.58,1.71,,,,
Stactolaema_whytii,56.76,1.75,,,,
Stagonopleura_bella,14.60,1.16,,,,
Stagonopleura_fuliginosus,20.00,1.30,,,,
Stagonopleura_guttata,17.92,1.25,,,,
Stagonopleura_oculata,14.56,1.16,,,,
Starnoenas_cyanocephala,227.00,2.36,,,,
Staurotypus_salvinii,1573.30,3.20,,,,
Staurotypus_triporcatus,5540.13,3.74,,,,
Steatogenys_duidae,5.65,0.75,,,,
Steatogenys_elegans,11.96,1.08,,,,
Steatomys_bocagei,30.77,1.49,,,,
Steatomys_caurinus,39.40,1.60,,,,
Steatomys_cuppedius,28.39,1.45,,,,
Steatomys_jacksoni,28.40,1.45,,,,
Steatomys_krebsii,21.63,1.34,,,,
Steatomys_opimus,31.81,1.50,,,,
Steatomys_parvus,5.55,0.74,,,,
Steatomys_pratensis,25.83,1.41,,,,
Steatornis_caripensis,429.53,2.63,,,,
Steganopus_tricolor,58.93,1.77,,,,
Stegastes_adustus,65.53,1.82,,,,
Stegastes_fuscus,32.30,1.51,,,,
Stegastes_leucostictus,18.20,1.26,,,,
Stegastes_nigricans,21.69,1.34,,,,
Stegastes_partitus,15.13,1.18,,,,
Stegastes_planifrons,43.38,1.64,,,,
Stegastes_variabilis,31.53,1.50,,,,
Stegoceras_,26700.00,4.43,,,,
Stegomastodon_superbus,7582310.30,6.88,,,,
Stegonotus_cucullatus,847.79,2.93,,,,
Stegonotus_diehli,174.15,2.24,,,,
Stegonotus_guentheri,585.15,2.77,,,,
Stegonotus_heterurus,540.20,2.73,,,,
Stegonotus_modestus,847.79,2.93,,,,
Stegonotus_parvus,511.89,2.71,,,,
Stegosaurus_,2470000.00,6.39,,,,
Stegosaurus_mjosi,2303323.00,6.36,,,,
Steindachnerina__insculpta,48.00,1.68,,,,
Stelgidillas_gracilirostris,31.25,1.49,,,,
Stelgidopteryx_andecola,19.00,1.28,,,,
Stelgidopteryx_fucata,15.00,1.18,,,,
Stelgidopteryx_ruficollis,16.83,1.23,,,,
Stelgidopteryx_serripennis,15.92,1.20,,,,
Stelgidopteryx_serripennis_ridgwayi,16.20,1.21,,,,
Stellagama_stellio,40.61,1.61,,,,
Stellula_calliope,2.97,0.47,,,,
Stenella_attenuata,62111.12,4.79,,,,
Stenella_clymene,71500.00,4.85,,,,
Stenella_coeruleoalba,102385.18,5.01,,,,
Stenella_frontalis,108521.11,5.04,,,,
Stenella_longirostris,57328.01,4.76,,,,
Steno_bredanensis,126897.22,5.10,,,,
Stenobrachius_leucopsarus,3.53,0.55,,,,
Stenocephalemys_albipes,52.81,1.72,,,,
Stenocephalemys_albocaudata,144.08,2.16,,,,
Stenocephalemys_griseicauda,85.64,1.93,,,,
Stenocephalemys_ruppi,48.99,1.69,,,,
Stenocercus_aculeatus,36.42,1.56,,,,
Stenocercus_angel,18.07,1.26,,,,
Stenocercus_apurimacus,16.12,1.21,,,,
Stenocercus_azureus,15.51,1.19,,,,
Stenocercus_boettgeri,36.42,1.56,,,,
Stenocercus_bolivarensis,20.17,1.30,,,,
Stenocercus_caducus,18.37,1.26,,,,
Stenocercus_carrioni,10.69,1.03,,,,
Stenocercus_chlorostictus,11.16,1.05,,,,
Stenocercus_chota,25.71,1.41,,,,
Stenocercus_chrysopygus,10.29,1.01,,,,
Stenocercus_crassicaudatus,24.03,1.38,,,,
Stenocercus_cupreus,12.68,1.10,,,,
Stenocercus_doellojuradoi,13.76,1.14,,,,
Stenocercus_dumerilii,33.66,1.53,,,,
Stenocercus_empetrus,31.23,1.49,,,,
Stenocercus_erythrogaster,20.90,1.32,,,,
Stenocercus_eunetopsis,15.51,1.19,,,,
Stenocercus_festae,30.26,1.48,,,,
Stenocercus_fimbriatus,20.90,1.32,,,,
Stenocercus_formosus,19.45,1.29,,,,
Stenocercus_frittsi,13.21,1.12,,,,
Stenocercus_guentheri,24.86,1.40,,,,
Stenocercus_haenschi,11.65,1.07,,,,
Stenocercus_huancabambae,27.47,1.44,,,,
Stenocercus_humeralis,40.98,1.61,,,,
Stenocercus_imitator,28.38,1.45,,,,
Stenocercus_iridescens,27.47,1.44,,,,
Stenocercus_ivitus,7.02,0.85,,,,
Stenocercus_lache,18.75,1.27,,,,
Stenocercus_latebrosus,11.65,1.07,,,,
Stenocercus_limitaris,25.71,1.41,,,,
Stenocercus_marmoratus,15.51,1.19,,,,
Stenocercus_melanopygus,16.75,1.22,,,,
Stenocercus_nigromaculatus,12.89,1.11,,,,
Stenocercus_nubicola,9.78,0.99,,,,
Stenocercus_ochoai,24.03,1.38,,,,
Stenocercus_orientalis,13.21,1.12,,,,
Stenocercus_ornatissimus,11.16,1.05,,,,
Stenocercus_ornatus,16.75,1.22,,,,
Stenocercus_pectinatus,13.76,1.14,,,,
Stenocercus_percultus,35.34,1.55,,,,
Stenocercus_praeornatus,28.38,1.45,,,,
Stenocercus_prionotus,22.43,1.35,,,,
Stenocercus_puyango,44.65,1.65,,,,
Stenocercus_rhodomelas,26.58,1.42,,,,
Stenocercus_roseiventris,25.37,1.40,,,,
Stenocercus_scapularis,21.66,1.34,,,,
Stenocercus_simonsii,18.75,1.27,,,,
Stenocercus_sinesaccus,14.33,1.16,,,,
Stenocercus_stigmosus,8.13,0.91,,,,
Stenocercus_torquatus,16.12,1.21,,,,
Stenocercus_trachycephalus,20.17,1.30,,,,
Stenocercus_tricristatus,18.75,1.27,,,,
Stenocercus_variabilis,23.22,1.37,,,,
Stenocercus_varius,16.75,1.22,,,,
Stenodactylus_affinis,4.59,0.66,,,,
Stenodactylus_arabicus,6.32,0.80,,,,
Stenodactylus_doriae,9.33,0.97,,,,
Stenodactylus_grandiceps,3.98,0.60,,,,
Stenodactylus_khobarensis,5.05,0.70,,,,
Stenodactylus_leptocosymbotus,10.57,1.02,,,,
Stenodactylus_mauritanicus,4.40,0.64,,,,
Stenodactylus_petrii,5.85,0.77,,,,
Stenodactylus_pulcher,2.26,0.35,,,,
Stenodactylus_slevini,13.93,1.14,,,,
Stenodactylus_sthenodactylus,4.50,0.65,,,,
Stenodactylus_yemenensis,4.59,0.66,,,,
Stenoderma_rufum,19.10,1.28,,,,
Stenodus_leucichthys,40000.00,4.60,,,,
Stenogobius_genivittatus,17.97,1.25,,,,
Stenolepis_ridleyi,2.05,0.31,,,,
Stenomys_niobe,45.97,1.66,,,,
Stenomys_omlichodes,72.06,1.86,,,,
Stenomys_richardsoni,64.39,1.81,,,,
Stenomys_vandeuseni,67.40,1.83,,,,
Stenomys_verecundus,108.88,2.04,,,,
Stenorrhina_degenhardtii,252.49,2.40,,,,
Stenorrhina_freminvillei,211.61,2.33,,,,
Stenostira_scita,7.94,0.90,,,,
Stenotomus_chrysops,2060.00,3.31,,,,
Stephanoaetus_coronatus,3733.89,3.57,,,,
Stephanophorus_diadematus,38.72,1.59,,,,
Stephanorhinus_kirchbergensis,1998104.93,6.30,,,,
Stephanoxis_lalandi,4.00,0.60,,,,
Stercorarius_antarcticus,1743.50,3.24,,,,
Stercorarius_antarcticus_hamiltoni,1700.00,3.23,,,,
Stercorarius_antarcticus_lonnbergi,2070.00,3.32,,,,
Stercorarius_chilensis,1490.00,3.17,,,,
Stercorarius_longicaudus,312.36,2.49,,,,
Stercorarius_maccormicki,1457.50,3.16,,,,
Stercorarius_parasiticus,471.68,2.67,,,,
Stercorarius_pomarinus,747.46,2.87,,,,
Stercorarius_skua,1366.75,3.14,,,,
Stereolepis_doederleini,84800.00,4.93,,,,
Stereolepis_gigas,255600.00,5.41,,,,
Sterna_acuticauda,166.12,2.22,,,,
Sterna_albifrons,57.25,1.76,,,,
Sterna_albostriata,94.69,1.98,,,,
Sterna_aleutica,150.08,2.18,,,,
Sterna_anaethetus,111.88,2.05,,,,
Sterna_antillarum,46.97,1.67,,,,
Sterna_aurantia,166.12,2.22,,,,
Sterna_balaenarum,59.57,1.78,,,,
Sterna_bengalensis,206.50,2.31,,,,
Sterna_bergii,313.94,2.50,,,,
Sterna_bernsteini,284.00,2.45,,,,
Sterna_caspia,651.07,2.81,,,,
Sterna_dougallii,116.05,2.06,,,,
Sterna_elegans,258.50,2.41,,,,
Sterna_forsteri,157.13,2.20,,,,
Sterna_fuscata,183.98,2.26,,,,
Sterna_hirundinacea,191.33,2.28,,,,
Sterna_hirundo,127.42,2.11,,,,
Sterna_hirundo_longipennis,175.00,2.24,,,,
Sterna_lorata,53.80,1.73,,,,
Sterna_lunata,146.00,2.16,,,,
Sterna_maxima,417.16,2.62,,,,
Sterna_minuta,56.70,1.75,,,,
Sterna_nereis,74.87,1.87,,,,
Sterna_nilotica,218.25,2.34,,,,
Sterna_paradisaea,111.59,2.05,,,,
Sterna_repressa,100.85,2.00,,,,
Sterna_sandvicensis,213.87,2.33,,,,
Sterna_saundersi,42.30,1.63,,,,
Sterna_striata,141.36,2.15,,,,
Sterna_sumatrana,107.53,2.03,,,,
Sterna_superciliaris,46.40,1.67,,,,
Sterna_trudeaui,155.33,2.19,,,,
Sterna_virgata,140.67,2.15,,,,
Sterna_vittata,144.26,2.16,,,,
Sternarchella_orthos,12.15,1.08,,,,
Sternarchella_sima,32.80,1.52,,,,
Sternarchorhamphus_muelleri,22.10,1.34,,,,
Sternarchorhynchus_curvirostris,13.00,1.11,,,,
Sternoclyta_cyanopectus,8.68,0.94,,,,
Sternopygus_macrurus,3382.71,3.53,,,,
Sternopygus_obtusirostris,250.00,2.40,,,,
Sternotherus_carinatus,588.22,2.77,,,,
Sternotherus_depressus,227.97,2.36,,,,
Sternotherus_minor,361.52,2.56,,,,
Sternotherus_odoratus,305.07,2.48,,,,
Sternula_albifrons,60.08,1.78,,,,
Sternula_antillarum,46.85,1.67,,,,
Sternula_antillarum_antillarum,58.00,1.76,,,,
Sternula_antillarum_athalassos,49.50,1.69,,,,
Sternula_balaenarum,59.35,1.77,,,,
Sternula_lorata,53.80,1.73,,,,
Sternula_nereis,72.15,1.86,,,,
Sternula_saundersi,43.75,1.64,,,,
Sternula_superciliaris,52.23,1.72,,,,
Sterrhoptilus_capitalis,14.75,1.17,,,,
Sterrhoptilus_dennistouni,15.15,1.18,,,,
Sterrhoptilus_nigrocapitatus,14.45,1.16,,,,
Stethojulis_balteata,0.80,-0.10,,,,
Stethojulis_bandanensis,26.00,1.41,,,,
Stethojulis_interrupta,6.25,0.80,,,,
Stethojulis_strigiventer,6.55,0.82,,,,
Sthenurus_andersoni,50039.57,4.70,,,,
Sthenurus_atlas,150542.45,5.18,,,,
Sthenurus_oreas,100000.00,5.00,,,,
Sthenurus_stirlingi,150452.04,5.18,,,,
Sthenurus_tindalei,100000.00,5.00,,,,
Stictonetta_naevosa,955.31,2.98,,,,
Stigmatopelia_chinensis,159.00,2.20,,,,
Stigmatopelia_senegalensis,82.13,1.91,,,,
Stigmatura_budytoides,11.82,1.07,,,,
