Binomial,bm_g,bs_cm,,,,
Acrocephalus_baeticatus,11.53,1.06,,,,
Acrocephalus_bistrigiceps,9.54,0.98,,,,
Acrocephalus_brevipennis,16.44,1.22,,,,
Acrocephalus_caffer,31.21,1.49,,,,
Acrocephalus_concinens,8.50,0.93,,,,
Acrocephalus_dumetorum,12.68,1.10,,,,
Acrocephalus_familiaris,19.35,1.29,,,,
Acrocephalus_gracilirostris,15.43,1.19,,,,
Acrocephalus_griseldis,21.85,1.34,,,,
Acrocephalus_hiwae,32.23,1.51,,,,
Acrocephalus_kerearako,24.36,1.39,,,,
Acrocephalus_luscinia,34.50,1.54,,,,
Acrocephalus_luscinius,31.39,1.50,,,,
Acrocephalus_melanopogon,11.94,1.08,,,,
Acrocephalus_mendanae,31.21,1.49,,,,
Acrocephalus_newtoni,17.92,1.25,,,,
Acrocephalus_nijoi,32.23,1.51,,,,
Acrocephalus_orientalis,27.25,1.44,,,,
Acrocephalus_orinus,24.20,1.38,,,,
Acrocephalus_paludicola,12.40,1.09,,,,
Acrocephalus_palustris,12.53,1.10,,,,
Acrocephalus_rehsei,26.14,1.42,,,,
Acrocephalus_rimatarae,26.50,1.42,,,,
Acrocephalus_rimitarae,27.63,1.44,,,,
Acrocephalus_rodericanus,11.93,1.08,,,,
Acrocephalus_rufescens,23.93,1.38,,,,
Acrocephalus_schoenobaenus,12.80,1.11,,,,
Acrocephalus_scirpaceus,13.58,1.13,,,,
Acrocephalus_sechellensis,15.89,1.20,,,,
Acrocephalus_sorghophilus,14.18,1.15,,,,
Acrocephalus_stentoreus,25.95,1.41,,,,
Acrocephalus_syrinx,26.14,1.42,,,,
Acrocephalus_taiti,26.04,1.42,,,,
Acrocephalus_tangorum,12.45,1.10,,,,
Acrocephalus_vaughani,24.47,1.39,,,,
Acrocephalus_yamashinae,32.23,1.51,,,,
Acrochordus_arafurae,6107.14,3.79,,,,
Acrochordus_granulatus,665.79,2.82,,,,
Acrochordus_javanicus,9561.08,3.98,,,,
Acropternis_orthonyx,92.22,1.96,,,,
Acroteriobatus_annulatus,350.00,2.54,,,,
Acryllium_vulturinum,1410.28,3.15,,,,
Actenoides_bougainvillei,188.00,2.27,,,,
Actenoides_bougainvillei_excelsus,215.00,2.33,,,,
Actenoides_concretus,79.71,1.90,,,,
Actenoides_hombroni,130.17,2.11,,,,
Actenoides_lindsayi,99.84,2.00,,,,
Actenoides_monachus,106.00,2.03,,,,
Actenoides_princeps,105.00,2.02,,,,
Actinemys_marmorata,282.00,2.45,,,,
Actinodura_egertoni,36.58,1.56,,,,
Actinodura_morrisoniana,24.32,1.39,,,,
Actinodura_nipalensis,45.22,1.66,,,,
Actinodura_ramsayi,39.33,1.59,,,,
Actinodura_sodangorum,38.10,1.58,,,,
Actinodura_souliei,39.34,1.59,,,,
Actinodura_waldeni,50.08,1.70,,,,
Actitis_hypoleucos,48.75,1.69,,,,
Actitis_macularius,44.68,1.65,,,,
Actitis_mascularius,43.37,1.64,,,,
Actophilornis_africanus,202.56,2.31,,,,
Actophilornis_albinucha,239.00,2.38,,,,
Acutotyphlops_subocularis,5.00,0.70,,,,
Addax_nasomaculatus,85736.61,4.93,,,,
Adelcophis_quadrivirgatus,21.32,1.33,,,,
Adelomyia_melanogenys,4.37,0.64,,,,
Adelotus_brevis,5.42,0.73,,,,
Adenomus_kandianus,6.25,0.80,,,,
Adercosaurus_vixadnexus,3.88,0.59,,,,
Adolfus_africanus,7.28,0.86,,,,
Adolfus_alleni,8.38,0.92,,,,
Adolfus_jacksoni,18.67,1.27,,,,
Adolfus_vauereselli,5.69,0.76,,,,
Adontosternarchus_balaenops,7.00,0.85,,,,
Aechmophorus_clarkii,1194.39,3.08,,,,
Aechmophorus_clarkii_clarkii,1226.00,3.09,,,,
Aechmophorus_clarkii_transitionalis,1471.50,3.17,,,,
Aechmophorus_occidentalis,1261.61,3.10,,,,
Aechmophorus_occidentalis_ephemeralis,1125.00,3.05,,,,
Aechmophorus_occidentalis_occidentalis,1789.50,3.25,,,,
Aegialitis_vociferus,87.88,1.94,,,,
Aegithalos_bonvaloti,7.25,0.86,,,,
Aegithalos_caudatus,8.52,0.93,,,,
Aegithalos_concinnus,6.62,0.82,,,,
Aegithalos_fuliginosus,6.88,0.84,,,,
Aegithalos_glaucogularis,8.60,0.93,,,,
Aegithalos_iouschistos,7.25,0.86,,,,
Aegithalos_leucogenys,7.18,0.86,,,,
Aegithalos_niveogularis,7.70,0.89,,,,
Aegithalos_sharpei,7.25,0.86,,,,
Aegithina_lafresnayei,11.96,1.08,,,,
Aegithina_nigrolutea,12.61,1.10,,,,
Aegithina_tiphia,13.17,1.12,,,,
Aegithina_viridissima,13.91,1.14,,,,
Aegolius_acadicus,99.19,2.00,,,,
Aegolius_funereus,150.29,2.18,,,,
Aegolius_harrisii,124.92,2.10,,,,
Aegolius_ridgwayi,80.00,1.90,,,,
Aegotheles_affinis,47.25,1.67,,,,
Aegotheles_albertisi,35.83,1.55,,,,
Aegotheles_archboldi,31.33,1.50,,,,
Aegotheles_bennettii,53.63,1.73,,,,
Aegotheles_bennettii_affinis,56.50,1.75,,,,
Aegotheles_crinifrons,146.33,2.17,,,,
Aegotheles_cristatus,43.64,1.64,,,,
Aegotheles_cristatus_cristatus,65.00,1.81,,,,
Aegotheles_cristatus_tasmanicus,60.00,1.78,,,,
Aegotheles_insignis,86.33,1.94,,,,
Aegotheles_savesi,59.38,1.77,,,,
Aegotheles_tatei,52.00,1.72,,,,
Aegotheles_wallacii,50.68,1.70,,,,
Aegypius_monachus,10315.96,4.01,,,,
Aeluroscalabotes_felinus,30.10,1.48,,,,
Aenigmatolimnas_marginalis,58.55,1.77,,,,
Aeoliscus_strigatus,1.90,0.28,,,,
Aepeomys_fuscatus,49.33,1.69,,,,
Aepeomys_lugens,37.02,1.57,,,,
Aepeomys_reigi,37.00,1.57,,,,
Aepyceros_melampus,37801.51,4.58,,,,
Aepypodius_arfakianus,1501.64,3.18,,,,
Aepypodius_bruijnii,192.00,2.28,,,,
Aepyprymnus_rufescens,3030.82,3.48,,,,
Aeretes_melanopterus,753.23,2.88,,,,
Aerodramus_amelis,10.68,1.03,,,,
Aerodramus_bartschi,7.66,0.88,,,,
Aerodramus_brevirostris,13.90,1.14,,,,
Aerodramus_elaphrus,12.80,1.11,,,,
Aerodramus_francicus,10.34,1.01,,,,
Aerodramus_fuciphagus,12.75,1.11,,,,
Aerodramus_germani,12.61,1.10,,,,
Aerodramus_hirundinaceus,10.10,1.00,,,,
Aerodramus_maximus,18.40,1.26,,,,
Aerodramus_mearnsi,12.85,1.11,,,,
Aerodramus_palawanensis,22.50,1.35,,,,
Aerodramus_papuensis,22.78,1.36,,,,
Aerodramus_salangana,10.68,1.03,,,,
Aerodramus_sawtelli,8.60,0.93,,,,
Aerodramus_spodiopygius,9.30,0.97,,,,
