"Order","Family","Genus","Best_guess_binomial","Adult_svl_cm","Body_mass_g","Maturity_d","Max_longevity_d","Longevity_d","Litter_clutch_size","Trophic_level","Diel_activity","Habitat_breadth_IUCN","Artificial_habitat_use","Forest","Savanna","Shrubland","Grassland","Wetland","Rocky.areas","Caves.and.subterranean","Desert","Marine","Marine.intertidal.or.coastal.supratidal","Artificial","Introduced.vegetation","Other.Unknown","Note"
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus hardyi",7.5,3.3189445755261,NA,1059.225,1059.225,2.7,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus harranensis",NA,19.521697278877,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus khamirensis",NA,2.69576740196346,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus longipes",7.5,6.41209576585162,NA,1059.225,1059.225,2.7,"Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus maculatus",6.2,5.6,NA,1461,1004.4375,3.33349647332757,"Carnivore","Other",4,FALSE,0,0,1,0,1,0,0,1,0,1,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus margaritae",NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus masirae",NA,3.30947228776305,NA,NA,NA,NA,"Carnivore","Other",1,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus micropholis",NA,6.40604788292581,NA,NA,NA,2.9999265905954,"Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus nilsoni",NA,9.59700315757967,NA,NA,NA,NA,NA,"Other",2,FALSE,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus opheodurus",6.2,5.6,NA,NA,NA,4.00018425523063,"Carnivore","Other",3,FALSE,0,0,1,0,1,0,0,1,0,0,0,0,0,NA
